Números:

---minutos---> 238,083 /  ---segundos--> 05 / FIM
---minutos---> 238,067 /  ---segundos--> 04 / FIM
---minutos---> 238,050 /  ---segundos--> 03 / FIM
---minutos---> 238,033 /  ---segundos--> 02 / FIM
---minutos---> 238,017 /  ---segundos--> 01 / FIM
---minutos---> 238,000 / 
---minutos---> 237,983 /  ---segundos--> 59 / FIM
---minutos---> 237,967 /  ---segundos--> 58 / FIM
---minutos---> 237,950 /  ---segundos--> 57 / FIM
---minutos---> 237,933 /  ---segundos--> 56 / FIM
---minutos---> 237,917 /  ---segundos--> 55 / FIM
---minutos---> 237,900 /  ---segundos--> 54 / FIM
---minutos---> 237,883 /  ---segundos--> 53 / FIM
---minutos---> 237,867 /  ---segundos--> 52 / FIM
---minutos---> 237,850 /  ---segundos--> 51 / FIM
---minutos---> 237,833 /  ---segundos--> 50 / FIM
---minutos---> 237,817 /  ---segundos--> 49 / FIM
---minutos---> 237,800 /  ---segundos--> 48 / FIM
---minutos---> 237,783 /  ---segundos--> 47 / FIM
---minutos---> 237,767 /  ---segundos--> 46 / FIM
---minutos---> 237,750 /  ---segundos--> 45 / FIM
---minutos---> 237,733 /  ---segundos--> 44 / FIM
---minutos---> 237,717 /  ---segundos--> 43 / FIM
---minutos---> 237,700 /  ---segundos--> 42 / FIM
---minutos---> 237,683 /  ---segundos--> 41 / FIM
---minutos---> 237,667 /  ---segundos--> 40 / FIM
---minutos---> 237,650 /  ---segundos--> 39 / FIM
---minutos---> 237,633 /  ---segundos--> 38 / FIM
---minutos---> 237,617 /  ---segundos--> 37 / FIM
---minutos---> 237,600 /  ---segundos--> 36 / FIM
---minutos---> 237,583 /  ---segundos--> 35 / FIM
---minutos---> 237,567 /  ---segundos--> 34 / FIM
---minutos---> 237,550 /  ---segundos--> 33 / FIM
---minutos---> 237,533 /  ---segundos--> 32 / FIM
---minutos---> 237,517 /  ---segundos--> 31 / FIM
---minutos---> 237,500 /  ---segundos--> 30 / FIM
---minutos---> 237,483 /  ---segundos--> 29 / FIM
---minutos---> 237,467 /  ---segundos--> 28 / FIM
---minutos---> 237,450 /  ---segundos--> 27 / FIM
---minutos---> 237,433 /  ---segundos--> 26 / FIM
---minutos---> 237,417 /  ---segundos--> 25 / FIM
---minutos---> 237,400 /  ---segundos--> 24 / FIM
---minutos---> 237,383 /  ---segundos--> 23 / FIM
---minutos---> 237,367 /  ---segundos--> 22 / FIM
---minutos---> 237,350 /  ---segundos--> 21 / FIM
---minutos---> 237,333 /  ---segundos--> 20 / FIM
---minutos---> 237,317 /  ---segundos--> 19 / FIM
---minutos---> 237,300 /  ---segundos--> 18 / FIM
---minutos---> 237,283 /  ---segundos--> 17 / FIM
---minutos---> 237,267 /  ---segundos--> 16 / FIM
---minutos---> 237,250 /  ---segundos--> 15 / FIM
---minutos---> 237,233 /  ---segundos--> 14 / FIM
---minutos---> 237,217 /  ---segundos--> 13 / FIM
---minutos---> 237,200 /  ---segundos--> 12 / FIM
---minutos---> 237,183 /  ---segundos--> 11 / FIM
---minutos---> 237,167 /  ---segundos--> 10 / FIM
---minutos---> 237,150 /  ---segundos--> 09 / FIM
---minutos---> 237,133 /  ---segundos--> 08 / FIM
---minutos---> 237,117 /  ---segundos--> 07 / FIM
---minutos---> 237,100 /  ---segundos--> 06 / FIM
---minutos---> 237,083 /  ---segundos--> 05 / FIM
---minutos---> 237,067 /  ---segundos--> 04 / FIM
---minutos---> 237,050 /  ---segundos--> 03 / FIM
---minutos---> 237,033 /  ---segundos--> 02 / FIM
---minutos---> 237,017 /  ---segundos--> 01 / FIM
---minutos---> 237,000 / 
---minutos---> 236,983 /  ---segundos--> 59 / FIM
---minutos---> 236,967 /  ---segundos--> 58 / FIM
---minutos---> 236,950 /  ---segundos--> 57 / FIM
---minutos---> 236,933 /  ---segundos--> 56 / FIM
---minutos---> 236,917 /  ---segundos--> 55 / FIM
---minutos---> 236,900 /  ---segundos--> 54 / FIM
---minutos---> 236,883 /  ---segundos--> 53 / FIM
